prov,city,prov_city,land_price
Chongqing,Beibei,Chongqing-Beibei,32.4520031867018
Anhui,Suzhou,Anhui-Suzhou,26.04899347634913
Sichuan,Suining,Sichuan-Suining,31.186274658634336
Yunnan,Honghehanizuyizu,Yunnan-Honghehanizuyizu,10.367067935489047
Xinjiang,Shuanghe,Xinjiang-Shuanghe,25.98654920511662
Hainan,Baotinglizumiaozu,Hainan-Baotinglizumiaozu,4.03078512669913
Xinjiang,Boertalamenggu,Xinjiang-Boertalamenggu,16.94540247538516
Chongqing,Tongliang,Chongqing-Tongliang,35.75268940977786
Shandong,Binzhou,Shandong-Binzhou,32.30187521004453
Gansu,Jinchang,Gansu-Jinchang,15.308677835385675
Shandong,Yantai,Shandong-Yantai,29.830465428454435
Fujian,Fuzhou,Fujian-Fuzhou,15.527306822541437
Tianjin,Beichen,Tianjin-Beichen,39.171878116717046
Shanghai,Changning,Shanghai-Changning,16.41433872862782
Chongqing,Wuxi,Chongqing-Wuxi,8.533994778897393
Sichuan,Abazangzuqiangzu,Sichuan-Abazangzuqiangzu,0.8613874915208553
Beijing,Chaoyang,Beijing-Chaoyang,21.59085111277293
Guizhou,Qiannanbuyizumiaozu,Guizhou-Qiannanbuyizumiaozu,8.018025601501126
Hubei,Shennongjialin,Hubei-Shennongjialin,0.8877854561719447
Guangxi,Guigang,Guangxi-Guigang,19.223818181892334
Neimenggu,Alashan,Neimenggu-Alashan,2.176539744222964
Hebei,Langfang,Hebei-Langfang,41.81628155303124
Ningxia,Guyuan,Ningxia-Guyuan,10.533095632833975
Xinjiang,Bayinguolengmenggu,Xinjiang-Bayinguolengmenggu,16.832796217149845
Gansu,Baiyin,Gansu-Baiyin,6.376830192002852
Xinjiang,Kunyu,Xinjiang-Kunyu,18.05479599268472
Heilongjiang,Daxinganling,Heilongjiang-Daxinganling,0.6068592332918857
Qinghai,Huangnanzangzu,Qinghai-Huangnanzangzu,3.9308266819894664
Tianjin,Binhaixin,Tianjin-Binhaixin,18.294212384638513
Beijing,Daxing,Beijing-Daxing,42.539905358696316
Hubei,Shiyan,Hubei-Shiyan,4.596333837154755
Neimenggu,Hulunbeier,Neimenggu-Hulunbeier,2.759820179950832
Hubei,Enshitujiazumiaozu,Hubei-Enshitujiazumiaozu,6.858742626541856
Guangdong,Shenzhen,Guangdong-Shenzhen,10.089895738519207
Shanxi,Yulin,Shanxi-Yulin,4.090079533874647
Jiangxi,Jingdezhen,Jiangxi-Jingdezhen,16.86255459324962
Neimenggu,Wulanchabu,Neimenggu-Wulanchabu,6.648999163655748
Anhui,Hefei,Anhui-Hefei,63.25514053105627
Chongqing,Wulong,Chongqing-Wulong,10.497762214151948
Jiangsu,Nantong,Jiangsu-Nantong,64.6475309869313
Shanghai,Jinshan,Shanghai-Jinshan,92.93058707753406
Jiangsu,Taizhou,Jiangsu-Taizhou,80.80973523567481
Qinghai,Guoluozangzu,Qinghai-Guoluozangzu,0.6272582713117437
Beijing,Changping,Beijing-Changping,14.474457815498944
Hubei,Ezhou,Hubei-Ezhou,41.356122044536484
Xinjiang,Shihezi,Xinjiang-Shihezi,49.407370996347076
Shanxi,Taiyuan,Shanxi-Taiyuan,12.016895148417605
Yunnan,Yuxi,Yunnan-Yuxi,11.379252515420301
Guangxi,Chongzuo,Guangxi-Chongzuo,7.739779408505083
Jiangxi,Yingtan,Jiangxi-Yingtan,19.13167605678659
Hainan,Tunchang,Hainan-Tunchang,9.202051996396351
Liaoning,Yingkou,Liaoning-Yingkou,22.446306907175874
Sichuan,Ganzizangzu,Sichuan-Ganzizangzu,0.8476753734472054
Heilongjiang,Qiqihaer,Heilongjiang-Qiqihaer,10.981608570398864
Heilongjiang,Heihe,Heilongjiang-Heihe,3.857967223499615
Xinjiang,Huyanghe,Xinjiang-Huyanghe,34.3094016276565
Shanxi,Yangquan,Shanxi-Yangquan,4.9380516792302185
Fujian,Longyan,Fujian-Longyan,8.670565477506711
Shanxi,Xian,Shanxi-Xian,19.418947260603286
Hubei,Yichang,Hubei-Yichang,11.302540501047522
Anhui,Chuzhou,Anhui-Chuzhou,49.0538868105061
Ningxia,Shizuishan,Ningxia-Shizuishan,20.603438437671024
Heilongjiang,Jixi,Heilongjiang-Jixi,11.527246546804994
Heilongjiang,Hegang,Heilongjiang-Hegang,15.116357553699622
Sichuan,Chengdu,Sichuan-Chengdu,45.466592934147464
Anhui,Tongling,Anhui-Tongling,39.40099265055108
Guangxi,Nanning,Guangxi-Nanning,14.596199611025744
Fujian,Putian,Fujian-Putian,19.085939178489173
Guizhou,Tongren,Guizhou-Tongren,12.434326737376372
Guangxi,Wuzhou,Guangxi-Wuzhou,8.583239623847584
Sichuan,Yibin,Sichuan-Yibin,23.64585104560571
Shanghai,Huangpu,Shanghai-Huangpu,0.109388558200652
Hainan,Lingao,Hainan-Lingao,24.528575022712264
Liaoning,Panjin,Liaoning-Panjin,42.00892008234895
Jiangxi,Yichun,Jiangxi-Yichun,18.880415332404947
Liaoning,Benxi,Liaoning-Benxi,3.111195847096148
Shandong,Taian,Shandong-Taian,44.470680246658496
Shanghai,Hongkou,Shanghai-Hongkou,0.733479956573162
Xinjiang,Kelamayi,Xinjiang-Kelamayi,2.9316053518972134
Henan,Jiaozuo,Henan-Jiaozuo,37.0014773312987
Guangdong,Zhuhai,Guangdong-Zhuhai,19.425591307951976
Guizhou,Anshun,Guizhou-Anshun,11.425381073040377
Xinjiang,Tulufan,Xinjiang-Tulufan,19.755387253787063
Yunnan,Chuxiongyizu,Yunnan-Chuxiongyizu,11.325754532909547
Hubei,Tianmen,Hubei-Tianmen,51.26306674984279
Shandong,Zibo,Shandong-Zibo,32.34507256183996
Zhejiang,Huzhou,Zhejiang-Huzhou,34.08871677527973
Zhejiang,Hangzhou,Zhejiang-Hangzhou,12.489488063589462
Jilin,Liaoyuan,Jilin-Liaoyuan,12.328716616046199
Jiangsu,Xuzhou,Jiangsu-Xuzhou,41.87280929714793
Yunnan,Dehongdaizujingpozu,Yunnan-Dehongdaizujingpozu,9.919072793193012
Chongqing,Nanchuan,Chongqing-Nanchuan,10.667498646918913
Shanghai,Jiading,Shanghai-Jiading,93.02981623317373
Guangdong,Zhanjiang,Guangdong-Zhanjiang,19.457814929999888
Guizhou,Zunyi,Guizhou-Zunyi,17.791012813600023
Sichuan,Yaan,Sichuan-Yaan,5.147611982538354
Hunan,Huaihua,Hunan-Huaihua,10.147063800975948
Xizang,Naqu,Xizang-Naqu,0.446714747368506
Hubei,Jingmen,Hubei-Jingmen,38.678653086376485
Chongqing,Banan,Chongqing-Banan,29.03030748690643
Sichuan,Neijiang,Sichuan-Neijiang,34.04301673905621
Zhejiang,Taizhou,Zhejiang-Taizhou,14.400014394819236
Hubei,Jingzhou,Hubei-Jingzhou,43.77375618097254
Anhui,Bengbu,Anhui-Bengbu,39.242218068064915
Guangxi,Yulin,Guangxi-Yulin,14.553445495838787
Xizang,Ali,Xizang-Ali,0.26151492803488746
Chongqing,Dadukou,Chongqing-Dadukou,34.80705879806882
Guangdong,Foshan,Guangdong-Foshan,23.467589759278876
Jiangxi,Shangrao,Jiangxi-Shangrao,15.601815550808702
Guangxi,Qinzhou,Guangxi-Qinzhou,12.552804492541497
Shanxi,Baoji,Shanxi-Baoji,12.5321283937041
Jiangxi,Pingxiang,Jiangxi-Pingxiang,13.936123376069762
Guizhou,Qianxinanbuyizumiaozu,Guizhou-Qianxinanbuyizumiaozu,6.880577727593163
Xizang,Rikaze,Xizang-Rikaze,2.8007556672930476
Henan,Zhoukou,Henan-Zhoukou,40.01750546314309
Shandong,Weihai,Shandong-Weihai,25.611443243002164
Shanxi,Xinzhou,Shanxi-Xinzhou,10.711294565061255
Jiangsu,Zhenjiang,Jiangsu-Zhenjiang,58.29410243204681
Guizhou,Qiandongnanmiaozudongzu,Guizhou-Qiandongnanmiaozudongzu,8.211572993155233
Yunnan,Lijiang,Yunnan-Lijiang,6.380666049971946
Gansu,Zhangye,Gansu-Zhangye,10.29292706246148
Guangdong,Jiangmen,Guangdong-Jiangmen,19.124428927410563
Guangdong,Meizhou,Guangdong-Meizhou,11.52613980332168
Guangxi,Baise,Guangxi-Baise,5.20572028450365
Gansu,Gannanzangzu,Gansu-Gannanzangzu,1.452975807634599
Hainan,Changjianglizu,Hainan-Changjianglizu,14.103940167647067
Henan,Anyang,Henan-Anyang,49.53112141720018
Hainan,Ledonglizu,Hainan-Ledonglizu,11.81495584138831
Shanghai,Baoshan,Shanghai-Baoshan,30.002121919435275
