prov,city,loss,loss_ratio
Zhejiang,Jiaxing,2907821.786654601,98.49546107893583
Heilongjiang,Haerbin,0.0,0.0
Guangxi,Guilin,12099.857634799835,32.866575493284785
Shandong,Taian,144589.64988623795,77.99634492010429
Jiangsu,Wuxi,687269.9005298745,89.40803828971943
Fujian,Sanming,11937.81951217837,31.384858500777145
Zhejiang,Shaoxing,241629.8314235447,77.7135274991604
Hunan,Hengyang,130861.9521843446,90.04121119813327
Henan,Zhumadian,10917.927168979857,53.01074503197116
Fujian,Nanping,8536.214728609133,48.72671424162456
Fujian,Xiamen,39046.30293152587,10.412337099385272
Sichuan,Leshan,91368.64380804083,89.634919748004
Guangdong,Zhongshan,111341.37683304484,72.08744033301477
Shanghai,Fengxian,29390.61509830294,25.752761471525666
Shanghai,Jingan,54.563512692924924,0.020280618700702205
Zhejiang,Taizhou,531902.2053454714,91.30810832009718
Anhui,Huainan,6829.4648962506735,30.325872998120957
Guangxi,Nanning,8834.45324917399,20.069190148758715
Jilin,Tonghua,6262.760178018831,33.58212410790685
Tianjin,Hexi,15940.596889159748,16.52826968241568
Qinghai,Xining,10242.363288311095,21.240751741521688
Sichuan,Yaan,nan,nan
Xinjiang,Wulumuqi,10724.454660292527,17.49088861123034
Tianjin,Hongqiao,6666.965717343504,9.756616337095796
Heilongjiang,Mudanjiang,15655.843419368852,51.176249686627806
Xinjiang,Hami,7586.626355183569,36.109747888261076
Jilin,Changchun,346775.9960799329,87.91690446004814
Tianjin,Hedong,2059.1432956123895,2.5524685363470625
Shandong,Yantai,296795.2178808011,85.44850049366879
Guangdong,Shenzhen,112891.59893732956,24.933987536413856
Shaanxi,Tongchuan,nan,nan
Hunan,Xiangtan,nan,nan
Guangdong,Shanwei,0.0,0.0
Neimenggu,Chifeng,11293.127167770055,28.07431295192897
Fujian,Longyan,27102.586649559853,43.93135969300315
Jiangxi,Ganzhou,78545.18952082407,79.60121006670809
Chongqing,Nanan,634529.3539635949,91.08635878255136
Shandong,Heze,33678.47659883594,70.65768258177097
Shanxi,Linfen,10154.783362486263,41.40020928367656
Hebei,Shijiazhuang,30478.78087982902,27.570516416008743
Liaoning,Huludao,255988.11786531593,94.6416002162063
Shandong,Weifang,950173.0349302306,96.9870753365891
Guangdong,Dongguan,173126.84324485488,71.71621171065728
Jiangxi,Nanchang,226549.97424443503,82.56653548182886
Tianjin,Heping,9457.175887428253,15.311540393621954
Heilongjiang,Shuangyashan,nan,nan
Chongqing,Banan,23525.6244451715,28.326060062788212
Chongqing,Beibei,49561.86786336198,42.033154525158736
