id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county
139737,映海公寓,大连,中山,老虎滩,2004,小高层,滨海东路80-3号,121.6808947,38.87481688,1.0,30.0,,104,公寓住宅,民用,7.3,12,0.0,20707.0,,,
140516,保利堂悦,大连,金州,金州周边,2021,多层|小高层,沈海高速,121.6853118,39.11903925,,40.0,62799.0,557,公寓住宅,民用,7.7,12,0.0,12158.0,,,
140594,观澜壹号院,大连,金州,友谊,Mar-21,多层|小高层,渤海大道,121.684104,39.12051218,,30.0,,910,公寓住宅,民用,7.7,12,-0.39,11013.0,,,
140847,保利堂悦(二期),大连,金州,金州八一路,2022,多层|小高层,沈海高速,121.6839377,39.11722566,,,,996,公寓住宅,民用,6.8,12,0.0,12219.0,,,
140848,碧桂园渤海郡,大连,金州,金州八一路,2021,高层,渤海大道,121.6824638,39.11955443,,35.0,,0,公寓住宅,民用,7.3,12,0.0,9100.0,,,
141729,新沃金融住宅,大连,高新园区,高新万达,,多层|高层,七贤中路,121.5258628,38.84760322,,,,0,公寓住宅,民用,6.9,12,0.0,25000.0,,,
141775,小蓬莱,大连,高新园区,小平岛,2019,低层,小平岛路39号,121.5009899,38.82306974,,50.0,,26,别墅,民用,7.2,12,-0.75,41461.0,,,
141792,西雅图海洋之星,大连,高新园区,百合山庄,2006,多层,海滨旅游路,121.7615638,39.03156145,,30.0,,0,商住楼,商用,6.8,12,0.0,8500.0,,,
163171,利民边贸小区,德宏,瑞丽,瑞京路,,多层,姐告路59号,97.87399211,23.98667804,,,,0,商住楼,商用,6.6,12,0.0,5000.0,,,
163225,阳光水岸,德宏,瑞丽,瑞京路,,高层,畹江路,98.0514583,24.07602741,,,,0,公寓住宅,民用,6.2,12,0.0,7173.0,,,
184519,海岸御景,福州,连江,县城,,高层,马祖路112号,119.8837241,26.31683225,,,,107,公寓住宅,民用,6.1,12,0.0,7000.0,,,
184894,澳前村东澳89号住宅楼,福州,平潭,万宝路,,低层,东澳89号,119.8436882,25.46372572,,,,0,公寓住宅,民用,6.2,12,0.0,3800.0,,,
189701,海岸巴黎,防城港,港口,桃花湾广场,,小高层,红树林街198号,108.3551459,21.68270119,,30.0,,0,公寓住宅,民用,7.3,12,0.0,7466.0,,,
190946,象屿恒荣悦海湾,福鼎,城区,市中心,,小高层|高层,玉塘大道旁,120.2090423,27.28798799,,,,0,公寓住宅,民用,,12,0.0,11800.0,,,
270897,海口湾1号,海口,龙华,滨海,2013,低层|多层,观海路102号,110.3047795,20.03757338,,42.7,90818.0,282,公寓住宅,民用,7.4,12,0.0,39152.0,,,
271252,海口湾1号(别墅),海口,龙华,滨海,2013,低层,观海路102号,110.304078,20.03680092,,50.0,,8,别墅,民用,6.9,12,0.0,32711.0,,,
278723,海悦长滩,惠州,大亚湾,霞涌,2015,高层,霞光二路,114.6598722,22.77242081,,25.0,,1137,公寓住宅,民用,7.2,12,0.0,12161.0,,,
308506,岛里小区,葫芦岛,龙港,岛里,,多层,葫芦岛街道,120.990617,40.71213297,,,,0,公寓住宅,民用,6.1,12,0.0,3450.0,,,
408084,金三角公寓,连云港,连云,久和,2008,多层,平山路92号,119.3347771,34.76663932,,30.0,,336,公寓住宅,民用,6.6,12,0.0,4770.0,,,
458816,闻涛阁,宁波,象山,象山市区,,低层,游仙路66号,121.9588937,29.47600002,,,,0,别墅,民用,6.3,12,0.0,12000.0,,,
459007,海山名座,宁波,象山,象山市区,2006,低层,观海北路,121.7770244,29.46940351,,28.0,,0,别墅,民用,6.5,12,0.0,10447.0,,,
494852,涵碧楼海上庄园,青岛,黄岛,薛家岛,2002,多层,东环岛路,120.2937222,35.9725557,1.0,30.0,,151,商住楼,商用,6.6,12,0.0,30697.0,,,
495269,青岛国际游艇会展中心,青岛,黄岛,东方影都,2017,低层|高层,滨海大道2788号,120.0723105,35.88761967,1.0,35.0,,183,商住楼,商用,7.2,12,0.0,12222.0,,,
495372,麦迪绅澎湃岛,青岛,黄岛,灵山卫,2019,高层,兴港路13号,120.1616838,35.92382913,1.0,30.0,128051.0,1308,商住楼,商用,7.9,12,0.0,15306.0,,,
496880,晓港名城(五期),青岛,市北,大港,2013,高层,小港二路81号,120.3090819,36.079252,1.0,30.0,,1448,公寓住宅,民用,8.3,12,0.09,29379.0,,,
496882,晓港名城(一期),青岛,市北,大港,2015,低层|高层,小港二路53号,120.3117032,36.08082922,1.0,35.0,,1240,公寓住宅,民用,8.4,12,-0.8,28999.0,,,
497046,青铁·云上观海,青岛,市北,湖岛,,小高层|高层,瑞海北路1号、5号,120.3308831,36.13250295,,,,0,公寓住宅,民用,7.1,12,0.0,31000.0,,,
500348,浮山湾花园(别墅),青岛,市南,湛山,1998,低层,东海路12号,120.3733494,36.05849223,1.0,50.0,,0,别墅,民用,8.0,12,0.0,101142.0,,,
500353,市南明珠花园(别墅),青岛,市南,湛山,2001,低层,澳门路16-20号,120.3772557,36.05925668,1.0,34.0,,0,别墅,民用,7.9,12,0.0,159151.0,,,
500357,天林花园(别墅),青岛,市南,湛山,2000,低层,东海西路2号,120.3686198,36.05542235,1.0,50.0,,0,别墅,民用,7.9,12,0.0,86502.0,,,
500568,得胜花园,青岛,市南,大学路,2002,低层,湛山二路2号,120.3565519,36.05081556,1.0,50.0,,190,别墅,民用,7.8,12,0.0,51827.0,,,
500592,通信花园,青岛,市南,五四广场,2000,多层,澳门路7号,120.3742687,36.05878796,1.0,35.0,,224,公寓住宅,民用,8.6,12,0.0,54298.0,,,
500601,明珠花园(市南),青岛,市南,五四广场,2001,多层,澳门路16-20号,120.3770571,36.0596514,1.0,34.0,,74,公寓住宅,民用,8.4,12,0.0,42711.0,,,
