prov_city,land_price
Neimenggu-Wulanchabu,6.648999163655748
Anhui-Hefei,63.25514053105627
Chongqing-Wulong,10.497762214151948
Jiangsu-Nantong,64.6475309869313
Shanghai-Jinshan,92.93058707753406
Jiangsu-Taizhou,80.80973523567481
Qinghai-Guoluozangzu,0.6272582713117437
Beijing-Changping,14.474457815498944
Hubei-Ezhou,41.356122044536484
Xinjiang-Shihezi,49.407370996347076
Shanxi-Taiyuan,12.016895148417605
Yunnan-Yuxi,11.379252515420301
Guangxi-Chongzuo,7.739779408505083
Jiangxi-Yingtan,19.13167605678659
Hainan-Tunchang,9.202051996396351
Liaoning-Yingkou,22.446306907175874
Sichuan-Ganzizangzu,0.8476753734472054
Heilongjiang-Qiqihaer,10.981608570398864
Heilongjiang-Heihe,3.857967223499615
Xinjiang-Huyanghe,34.3094016276565
Shanxi-Yangquan,4.9380516792302185
Fujian-Longyan,8.670565477506711
Shanxi-Xian,19.418947260603286
Hubei-Yichang,11.302540501047522
Anhui-Chuzhou,49.0538868105061
Ningxia-Shizuishan,20.603438437671024
Heilongjiang-Jixi,11.527246546804994
Heilongjiang-Hegang,15.116357553699622
Sichuan-Chengdu,45.466592934147464
Anhui-Tongling,39.40099265055108
Guangxi-Nanning,14.596199611025744
Fujian-Putian,19.085939178489173
Guizhou-Tongren,12.434326737376372
Guangxi-Wuzhou,8.583239623847584
Sichuan-Yibin,23.64585104560571
Shanghai-Huangpu,0.109388558200652
Hainan-Lingao,24.528575022712264
Liaoning-Panjin,42.00892008234895
Jiangxi-Yichun,18.880415332404947
Liaoning-Benxi,3.111195847096148
Shandong-Taian,44.470680246658496
Shanghai-Hongkou,0.733479956573162
Xinjiang-Kelamayi,2.9316053518972134
Henan-Jiaozuo,37.0014773312987
Guangdong-Zhuhai,19.425591307951976
Guizhou-Anshun,11.425381073040377
Xinjiang-Tulufan,19.755387253787063
Yunnan-Chuxiongyizu,11.325754532909547
Hubei-Tianmen,51.26306674984279
Shandong-Zibo,32.34507256183996
Zhejiang-Huzhou,34.08871677527973
Zhejiang-Hangzhou,12.489488063589462
Jilin-Liaoyuan,12.328716616046199
Jiangsu-Xuzhou,41.87280929714793
Yunnan-Dehongdaizujingpozu,9.919072793193012
Chongqing-Nanchuan,10.667498646918913
Shanghai-Jiading,93.02981623317373
Guangdong-Zhanjiang,19.457814929999888
Guizhou-Zunyi,17.791012813600023
Sichuan-Yaan,5.147611982538354
Hunan-Huaihua,10.147063800975948
Xizang-Naqu,0.446714747368506
Hubei-Jingmen,38.678653086376485
Chongqing-Banan,29.03030748690643
Sichuan-Neijiang,34.04301673905621
Zhejiang-Taizhou,14.400014394819236
Hubei-Jingzhou,43.77375618097254
Anhui-Bengbu,39.242218068064915
Guangxi-Yulin,14.553445495838787
Xizang-Ali,0.26151492803488746
Chongqing-Dadukou,34.80705879806882
Guangdong-Foshan,23.467589759278876
Jiangxi-Shangrao,15.601815550808702
Guangxi-Qinzhou,12.552804492541497
Shanxi-Baoji,12.5321283937041
Jiangxi-Pingxiang,13.936123376069762
Guizhou-Qianxinanbuyizumiaozu,6.880577727593163
Xizang-Rikaze,2.8007556672930476
Henan-Zhoukou,40.01750546314309
Shandong-Weihai,25.611443243002164
Shanxi-Xinzhou,10.711294565061255
Jiangsu-Zhenjiang,58.29410243204681
Guizhou-Qiandongnanmiaozudongzu,8.211572993155233
Yunnan-Lijiang,6.380666049971946
Gansu-Zhangye,10.29292706246148
Guangdong-Jiangmen,19.124428927410563
Guangdong-Meizhou,11.52613980332168
Guangxi-Baise,5.20572028450365
Gansu-Gannanzangzu,1.452975807634599
Hainan-Changjianglizu,14.103940167647067
Henan-Anyang,49.53112141720018
Hainan-Ledonglizu,11.81495584138831
Shanghai-Baoshan,30.002121919435275
Henan-Jiyuan,26.219802344057214
Qinghai-Haibeizangzu,1.9255771964806978
Hebei-Xingtai,48.3266817618102
Chongqing-Kaizhou,16.76849517339774
Hubei-Xiaogan,48.35539193669762
Hunan-Zhuzhou,17.754469618941076
Yunnan-Nujianglisuzu,2.4997616206928814
Shanxi-Xianyang,28.474277652567352
Neimenggu-Xingan,5.508803178588757
Xizang-Shannan,2.9509830846786254
Jiangsu-Suqian,35.465974638652796
Gansu-Tianshui,15.10155223387498
Hebei-Baoding,32.07622479643488
Xinjiang-Yilihasake,17.348298712175822
Hunan-Hengyang,24.009637547213618
Shandong-Heze,39.053556773695604
Anhui-Huainan,54.899083224769285
Shanxi-Datong,7.983540556601986
Gansu-Dingxi,10.51539716745369
Hebei-Hengshui,44.45740609806606
Guangdong-Guangzhou,20.181833967237285
Henan-Xinyang,66.57687931221174
Xinjiang-Akesu,29.012979840788006
Sichuan-Mianyang,17.70674678368586
Hubei-Suizhou,27.11308795391009
Anhui-Chizhou,17.203749405064155
Fujian-Zhangzhou,15.68714509082123
Jiangsu-Changzhou,52.80151882007268
Xinjiang-Changjihuizu,24.962670492634413
Heilongjiang-Mudanjiang,4.06648968197925
Hubei-Xiantao,48.7724247933472
Jiangxi-Ganzhou,9.29953988045089
Hubei-Xianning,17.858387132151684
Hubei-Xiangyang,24.092731237852572
Guangdong-Zhongshan,26.591835557249972
Hunan-Changde,29.527711151816238
Guizhou-Bijie,11.344188049177468
Chongqing-Hechuan,31.404995677749902
Tianjin-Baodi,40.41130460230131
Tianjin-Wuqing,40.013045099297194
Anhui-Wuhu,50.126725797576356
Chongqing-Tongnan,30.09784203380365
Guangxi-Beihai,20.151690942409093
Jilin-Tonghua,7.456278225315375
Hainan-Chengmai,16.91364498837087
Gansu-Linxiahuizu,16.307953428986988
Heilongjiang-Shuangyashan,13.142608113757555
Yunnan-Dalibaizu,11.117951548330547
Hainan-Lingshuilizu,17.263671727567118
Shanxi-Ankang,5.938125169140439
Jiangxi-Xinyu,20.615536181372082
Sichuan-Meishan,37.28051293524112
Xinjiang-Aletai,9.099778064137965
